rank;jap_url;;;
1;https://pod.pokellector.com/cards/283/Roselia.S1W.1.31221.png;;;
2;https://pod.pokellector.com/cards/283/Roserade.S1W.2.31222.png;;;
3;https://pod.pokellector.com/cards/283/Maractus.S1W.3.31223.png;;;
4;https://pod.pokellector.com/cards/283/Dhelmise-V.S1W.4.31224.png;;;
5;https://pod.pokellector.com/cards/283/Grookey.S1W.5.31225.png;;;
6;https://pod.pokellector.com/cards/283/Thwackey.S1W.6.31226.png;;;
7;https://pod.pokellector.com/cards/283/Rillaboom.S1W.7.31196.png;;;
8;https://pod.pokellector.com/cards/283/Salandit.S1W.8.31227.png;;;
9;https://pod.pokellector.com/cards/283/Salazzle.S1W.9.31228.png;;;
10;https://pod.pokellector.com/cards/283/Sizzlipede.S1W.10.31229.png;;;
11;https://pod.pokellector.com/cards/283/Centiskorch.S1W.11.31230.png;;;
12;https://pod.pokellector.com/cards/283/Krabby.S1W.12.31231.png;;;
13;https://pod.pokellector.com/cards/283/Kingler.S1W.13.31232.png;;;
14;https://pod.pokellector.com/cards/283/Lapras-V.S1W.14.31191.png;;;
15;https://pod.pokellector.com/cards/283/Lapras-V-MAX.S1W.15.31192.png;;;
16;https://pod.pokellector.com/cards/283/Mantine.S1W.16.31233.png;;;
17;https://pod.pokellector.com/cards/283/Sobble.S1W.17.31234.png;;;
18;https://pod.pokellector.com/cards/283/Drizzile.S1W.18.31235.png;;;
19;https://pod.pokellector.com/cards/283/Inteleon.S1W.19.31197.png;;;
20;https://pod.pokellector.com/cards/283/Yamper.S1W.20.31236.png;;;
21;https://pod.pokellector.com/cards/283/Boltund.S1W.21.31238.png;;;
22;https://pod.pokellector.com/cards/283/Pincurchin.S1W.22.31237.png;;;
23;https://pod.pokellector.com/cards/283/Gastly.S1W.23.31239.png;;;
24;https://pod.pokellector.com/cards/283/Haunter.S1W.24.31240.png;;;
25;https://pod.pokellector.com/cards/283/Gengar.S1W.25.31241.png;;;
26;https://pod.pokellector.com/cards/283/Wobbuffet-V.S1W.26.31242.png;;;
27;https://pod.pokellector.com/cards/283/Sinistea.S1W.27.31243.png;;;
28;https://pod.pokellector.com/cards/283/Polteageist.S1W.28.31244.png;;;
29;https://pod.pokellector.com/cards/283/Sudowoodo.S1W.29.31245.png;;;
30;https://pod.pokellector.com/cards/283/Baltoy.S1W.30.31246.png;;;
31;https://pod.pokellector.com/cards/283/Claydol.S1W.31.31247.png;;;
32;https://pod.pokellector.com/cards/283/Clobbopus.S1W.32.31248.png;;;
33;https://pod.pokellector.com/cards/283/Grapploct.S1W.33.31249.png;;;
34;https://pod.pokellector.com/cards/283/Stonjourner-V.S1W.34.31195.png;;;
35;https://pod.pokellector.com/cards/283/Stonjourner-V-MAX.S1W.35.31250.png;;;
36;https://pod.pokellector.com/cards/283/Croagunk.S1W.36.31251.png;;;
37;https://pod.pokellector.com/cards/283/Toxicroak.S1W.37.31252.png;;;
38;https://pod.pokellector.com/cards/283/Nickit.S1W.38.31253.png;;;
39;https://pod.pokellector.com/cards/283/Thievul.S1W.39.31254.png;;;
40;https://pod.pokellector.com/cards/283/Galarian-Meowth.S1W.40.31255.png;;;
41;https://pod.pokellector.com/cards/283/Galarian-Perrserker.S1W.41.31256.png;;;
42;https://pod.pokellector.com/cards/283/Ferroseed.S1W.42.31257.png;;;
43;https://pod.pokellector.com/cards/283/Ferrothorn.S1W.43.31258.png;;;
44;https://pod.pokellector.com/cards/283/Galarian-Stunfisk.S1W.44.31259.png;;;
45;https://pod.pokellector.com/cards/283/Corviknight.S1W.45.31260.png;;;
46;https://pod.pokellector.com/cards/283/Zacian-V.S1W.46.31193.png;;;
47;https://pod.pokellector.com/cards/283/Mincinno.S1W.47.31261.png;;;
48;https://pod.pokellector.com/cards/283/Cinccino.S1W.48.31262.png;;;
49;https://pod.pokellector.com/cards/283/Rookidee.S1W.49.31263.png;;;
50;https://pod.pokellector.com/cards/283/Corvisquire.S1W.50.31264.png;;;
51;https://pod.pokellector.com/cards/283/Cramorant-V.S1W.51.31265.png;;;
52;https://pod.pokellector.com/cards/283/Evolution-Incense.S1W.52.31266.png;;;
53;https://pod.pokellector.com/cards/283/Hyper-Potion.S1W.53.31267.png;;;
54;https://pod.pokellector.com/cards/283/Fishing-Rod.S1W.54.31206.png;;;
55;https://pod.pokellector.com/cards/283/Rotom-Bike.S1W.55.31268.png;;;
56;https://pod.pokellector.com/cards/283/Giant-Charm.S1W.56.31269.png;;;
57;https://pod.pokellector.com/cards/283/Air-Balloon.S1W.57.31270.png;;;
58;https://pod.pokellector.com/cards/283/Lum-Berry.S1W.58.31271.png;;;
59;https://pod.pokellector.com/cards/283/Professors-Research.S1W.59.31208.png;;;
60;https://pod.pokellector.com/cards/283/Bede.S1W.60.31207.png;;;
61;https://pod.pokellector.com/cards/283/Dhelmise-V.S1W.61.31350.png;;;
62;https://pod.pokellector.com/cards/283/Lapras-V.S1W.62.31360.png;;;
63;https://pod.pokellector.com/cards/283/Wobbuffet-V.S1W.63.31355.png;;;
64;https://pod.pokellector.com/cards/283/Stonjourner-V.S1W.64.31352.png;;;
65;https://pod.pokellector.com/cards/283/Zacian-V.S1W.65.31353.png;;;
66;https://pod.pokellector.com/cards/283/Cramorant-V.S1W.66.31356.png;;;
67;https://pod.pokellector.com/cards/283/Professors-Research.S1W.67.31220.png;;;
68;https://pod.pokellector.com/cards/283/Bede.S1W.68.31348.png;;;
69;https://pod.pokellector.com/cards/283/Lapras-VMAX.S1W.69.31371.png;;;
70;https://pod.pokellector.com/cards/283/Sonjourner-VMAX.S1W.70.31373.png;;;
71;https://pod.pokellector.com/cards/283/Professors-Research.S1W.71.31372.png;;;
72;https://pod.pokellector.com/cards/283/Bede.S1W.72.31370.png;;;
73;https://pod.pokellector.com/cards/283/Zacian-V.S1W.73.31378.png;;;
74;https://pod.pokellector.com/cards/283/Fishing-Rod.S1W.74.31365.png;;;
75;https://pod.pokellector.com/cards/283/Paper-Balloon.S1W.75.31367.png;;;
