rank;number;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;Common;;Mystherbe;Oddish;ナゾノクサ;Pokémon;Grass;43;Kouki Saitou;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478618.jpg;ex9
2;2;Common;;Ortide;Gloom;クサイハナ;Pokémon;Grass;44;Kouki Saitou;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478619.jpg;ex9
3;3;Rare;;Insécateur;Scyther;ストライク;Pokémon;Grass;123;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478620.jpg;ex9
4;4;Rare Holo;;Méganium;Meganium;メガニウム;Pokémon;Grass;154;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478621.jpg;ex9
5;5;Common;;Mimigal;Spinarak;イトマル;Pokémon;Grass;167;Sachiko Adachi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478622.jpg;ex9
6;6;Rare Holo;;Migalos;Ariados;アリアドス;Pokémon;Grass;168;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478623.jpg;ex9
7;7;Rare Holo;;Joliflor;Bellossom;キレイハナ;Pokémon;Grass;182;Kouki Saitou;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478624.jpg;ex9
8;8;Common;;Tournegrin;Sunkern;ヒマナッツ;Pokémon;Grass;191;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478625.jpg;ex9
9;9;Rare Holo;;Heliatronc;Sunflora;キマワリ;Pokémon;Grass;192;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478626.jpg;ex9
10;10;Uncommon;;Yanma;Yanma;ヤンヤンマ;Pokémon;Grass;193;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478627.jpg;ex9
11;11;Common;;Pomdepik;Pineco;クヌギダマ;Pokémon;Grass;204;Aya Kusube;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478628.jpg;ex9
12;12;Rare;;Caratroc;Shuckle;ツボツボ;Pokémon;Grass;213;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478629.jpg;ex9
13;13;Rare Holo;;Pyroli;Flareon;ブースター;Pokémon;Fire;136;Naoyo Kimura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478524.jpg;ex9
14;14;Rare Holo;;Typhlosion;Typhlosion;バクフーン;Pokémon;Fire;157;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478631.jpg;ex9
15;15;Common;;Limagma;Slugma;マグマッグ;Pokémon;Fire;218;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478632.jpg;ex9
16;16;Rare;;Volcaropod;Magcargo;マグカルゴ;Pokémon;Fire;219;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478633.jpg;ex9
17;17;Common;;Malosse;Houndour;デルビル;Pokémon;Fire;228;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478634.jpg;ex9
18;18;Rare Holo;;Démolosse;Houndoom;ヘルガー;Pokémon;Fire;229;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478635.jpg;ex9
19;19;Ultra;Star;Entei Star;Entei Star;エンテイ☆;Pokémon;Fire;244;Masakazu Fukuda;https://res.cloudinary.com/dkhwpritu/image/upload/v1587828497/modifs/Capture_d_e%CC%81cran_2020-04-13_a%CC%80_21.56.15.png;ex9
20;20;Ultra;ex;Ho-Oh ex;Ho-Oh ex;ホウオウ ex;Pokémon;Fire;250;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478637.jpg;ex9
21;21;Common;;Ptitard;Poliwag;ニョロモ;Pokémon;Water;60;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478638.jpg;ex9
22;22;Common;;Têtarte;Poliwhirl;ニョロゾ;Pokémon;Water;61;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478639.jpg;ex9
23;23;Rare Holo;;Flagadoss;Slowbro;ヤドラン;Pokémon;Water;80;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478640.jpg;ex9
24;24;Rare;;Lippoutou;Jynx;カポエラー;Pokémon;Water;124;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478641.jpg;ex9
25;25;Rare Holo;;Aquali;Vaporeon;シャワーズ;Pokémon;Water;134;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478642.jpg;ex9
26;26;Rare Holo;;Aligatueur;Feraligatr;オーダイル;Pokémon;Water;160;Masakazu Fukuda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478643.jpg;ex9
27;27;Ultra;ex;Tarpaud ex;Politoed ex;ニョロトノex;Pokémon;Water;186;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478644.jpg;ex9
28;28;Rare;;Corayon;Corsola;サニーゴ;Pokémon;Water;222;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478645.jpg;ex9
29;29;Common;;Remoraid;Remoraid;テッポウオ;Pokémon;Water;223;Sachiko Adachi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478646.jpg;ex9
30;30;Rare Holo;;Octillery;Octillery;オクタン;Pokémon;Water;224;Naoyo Kimura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478647.jpg;ex9
31;31;Rare;;Lippouti;Smoochum;ムチュール;Pokémon;Water;238;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478648.jpg;ex9
32;32;Ultra;Star;Suicune Star;Suicune Star;スイクン☆;Pokémon;Water;245;Masakazu Fukuda;https://res.cloudinary.com/dkhwpritu/image/upload/v1587828496/modifs/Capture_d_e%CC%81cran_2020-04-13_a%CC%80_21.57.41.png;ex9
33;33;Rare;;Elektek;Electabuzz;エレブー;Pokémon;Lightning;125;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478650.jpg;ex9
34;34;Rare Holo;;Voltali;Jolteon;サンダース;Pokémon;Lightning;135;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478651.jpg;ex9
35;35;Common;;Wattouat;Mareep;メリープ;Pokémon;Lightning;179;Kyoko Umemoto;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478652.jpg;ex9
36;36;Common;;Lainergie;Flaaffy;モココ;Pokémon;Lightning;180;Kyoko Umemoto;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478653.jpg;ex9
37;37;Rare Holo;;Pharamp;Ampharos;デンリュウ;Pokémon;Lightning;181;Kyoko Umemoto;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478654.jpg;ex9
38;38;Rare;;Elekid;Elekid;エレキッド;Pokémon;Lightning;239;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478655.jpg;ex9
39;39;Ultra;Star;Raikou Star;Raikou Star;ライコウ☆;Pokémon;Lightning;243;Masakazu Fukuda;https://res.cloudinary.com/dkhwpritu/image/upload/v1557060733/modifs/raikou.jpg;ex9
