rank;number;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;Common;;Bulbizarre;Bulbasaur;フシギダネ;Pokémon;Grass;1;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478799.jpg;ex13
2;2;Uncommon;;Herbizarre;Ivysaur;フシギソウ;Pokémon;Grass;2;Hisao Nakamura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478800.jpg;ex13
3;3;Rare Holo;;Florizarre;Venusaur;フシギバナ;Pokémon;Grass;3;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478801.jpg;ex13
4;4;Ultra;Star;Celebi Star;Celebi Star;セレビィ☆;Pokémon;Grass;251;Masakazu Fukuda;https://res.cloudinary.com/dkhwpritu/image/upload/v1557080757/modifs/Capture_d_e%CC%81cran_2019-05-05_a%CC%80_20.20.25.png;ex13
5;5;Common;;Arcko;Treecko;キモリ;Pokémon;Grass;252;Sachiko Adachi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478803.jpg;ex13
6;6;Rare;;Massko;Grovyle;ジュプトル;Pokémon;Grass;253;Hisao Nakamura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478804.jpg;ex13
7;7;Common;;Grainipiot;Seedot;タネボー;Pokémon;Grass;273;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478805.jpg;ex13
8;8;Uncommon;;Gloupti;Gulpin;ゴクリン;Pokémon;Grass;316;Kyoko Umemoto;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478806.jpg;ex13
9;9;Rare Holo;;Avaltout;Swalot;マルノーム;Pokémon;Grass;317;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478807.jpg;ex13
10;10;Uncommon;;Cacnéa;Cacnea;サボネア;Pokémon;Grass;331;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478808.jpg;ex13
11;11;Common;;Salamèche;Charmander;ヒトカゲ;Pokémon;Fire;4;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478809.jpg;ex13
12;12;Uncommon;;Reptincel;Charmeleon;リザード;Pokémon;Fire;5;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478810.jpg;ex13
13;13;Common;;Poussifeu;Torchic;アチャモ;Pokémon;Fire;255;Sumiyoshi Kizuki;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478811.jpg;ex13
14;14;Rare Holo;;Ludicolo;Ludicolo δ;ルンパッパ δ;Pokémon;Fire;272;Masakazu Fukuda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478812.jpg;ex13
15;15;Common;;Chamallot;Numel;ドンメル;Pokémon;Fire;322;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478813.jpg;ex13
16;16;Rare Holo;;Camerupt;Camerupt;バクーダ;Pokémon;Fire;323;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478814.jpg;ex13
17;17;Rare;;Krabboss;Kingler δ;キングラー δ;Pokémon;Fire;99;Masakazu Fukuda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478815.jpg;ex13
18;18;Common;;Carapuce;Squirtle;ゼニガメ;Pokémon;Water;7;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478816.jpg;ex13
19;19;Uncommon;;Carabaffe;Wartortle;カメール;Pokémon;Water;8;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478817.jpg;ex13
20;20;Uncommon;;Krabby;Krabby;クラブ;Pokémon;Water;98;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478818.jpg;ex13
21;21;Common;;Gobou;Mudkip;ミズゴロウ;Pokémon;Water;258;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478819.jpg;ex13
22;22;Rare;;Flobio;Marshtomp;ヌマクロー;Pokémon;Water;259;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478820.jpg;ex13
23;23;Ultra;ex;Laggron ex;Swampert ex;ラグラージex;Pokémon;Water;260;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478746.jpg;ex13
24;24;Common;;Nenupiot;Lotad;ハスボー;Pokémon;Water;270;Aya Kusube;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478822.jpg;ex13
25;25;Rare;;Lombre;Lombre;ハスブレロ;Pokémon;Water;271;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478823.jpg;ex13
26;26;Common;;Goelise;Wingull;キャモメ;Pokémon;Water;278;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478824.jpg;ex13
27;27;Rare Holo;;Lovdisc;Luvdisc;ラブカス;Pokémon;Water;370;Kyoko Umemoto;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478825.jpg;ex13
28;28;Rare;;Rapasdepic;Fearow δ;オニドリル δ;Pokémon;Lightning;22;Kouki Saitou;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478826.jpg;ex13
