rank;number;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;Common;;Aspicot;Weedle;ビードル;Pokémon;Grass;13;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471561.jpg;ex10
2;2;Common;;Coconfort;Kakuna;コクーン;Pokémon;Grass;14;Sachiko Adachi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471495.jpg;ex10
3;3;Common;;Nosférapti;Zubat;ズバット;Pokémon;Grass;41;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471496.jpg;ex10
4;4;Common;;Nosféralto;Golbat;ゴルバット;Pokémon;Grass;42;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471497.jpg;ex10
5;5;Common;;Smogo;Koffing;ドガース;Pokémon;Grass;109;Sachiko Adachi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471498.jpg;ex10
6;6;Rare;;Smogogo;Weezing;マタドガス;Pokémon;Grass;110;Yukiko Baba;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471499.jpg;ex10
7;7;Rare;;Metamorph (Bulbizarre);Ditto;メタモン;Pokémon;Grass;132;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478395.jpg;ex10
8;8;Rare;;Muciole;Volbeat;バルビート;Pokémon;Grass;313;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471500.jpg;ex10
9;9;Rare;;Lumivole;Illumise;イルミーゼ;Pokémon;Grass;314;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471501.jpg;ex10
10;10;Rare Holo;;Dardargnan;Beedrill δ;スピアー δ;Pokémon;Grass;15;Masakazu Fukuda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471502.jpg;ex10
11;11;Rare Holo;;Nostenfer;Crobat δ;クロバット δ;Pokémon;Grass;169;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471503.jpg;ex10
12;12;Rare;;Metamorph (Salamèche);Ditto;メタモン;Pokémon;Fire;132;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471504.jpg;ex10
13;13;Common;;Embrylex;Larvitar δ;ヨーギラス δ;Pokémon;Fire;246;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471505.jpg;ex10
14;14;Uncommon;;Ymphect;Pupitar δ;サナギラス δ;Pokémon;Fire;247;Masakazu Fukuda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471506.jpg;ex10
15;15;Rare;;Morpheo Soleil;Sunny Castform;太陽のポワルン;Pokémon;Fire;351;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478317.jpg;ex10
16;16;Common;;Draby;Bagon δ;タツベイ δ;Pokémon;Fire;371;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471507.jpg;ex10
17;17;Uncommon;;Drackhaus;Shelgon δ;コモルー δ;Pokémon;Fire;372;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471508.jpg;ex10
18;18;Rare Holo;;Pyroli;Flareon δ;ブースター δ;Pokémon;Fire;136;Kouki Saitou;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471571.jpg;ex10
19;19;Rare Holo;;Mewtwo;Mewtwo δ;ミュウツー δ;Pokémon;Fire;150;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471509.jpg;ex10
20;20;Rare Holo;;Tyranocif;Tyranitar δ;バンギラス δ;Pokémon;Fire;248;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471510.jpg;ex10
21;21;Rare Holo;;Drattak;Salamence δ;ボーマンダ δ;Pokémon;Fire;373;Ryo Ueda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471511.jpg;ex10
22;22;Common;;Ramoloss;Slowpoke;ヤドン;Pokémon;Water;79;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471512.jpg;ex10
23;23;Common;;Stari;Staryu;ヒトデマン;Pokémon;Water;120;Hisao Nakamura;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471513.jpg;ex10
24;24;Rare;;Metamorph (Carapuce);Ditto;メタモン;Pokémon;Water;132;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471514.jpg;ex10
25;25;Rare;;Roigada;Slowking;ヤドキング;Pokémon;Water;199;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471515.jpg;ex10
26;26;Rare;;Morpheo Pluie;Rain Castform;雨水のポワルン;Pokémon;Water;351;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1471516.jpg;ex10
27;27;Rare;;Morpheo Neige;Snow-cloud Castform;雪雲のポワルン;Pokémon;Water;351;Miki Tanaka;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478329.jpg;ex10
28;28;Ultra;Star;Kyogre;Kyogre;カイオーガ☆;Pokémon;Water;382;Masakazu Fukuda;https://res.cloudinary.com/dkhwpritu/image/upload/v1557071120/modifs/Capture_d_e%CC%81cran_2019-05-05_a%CC%80_15.11.50.png;ex10
29;29;Rare Holo;;Staross;Starmie δ;スターミー δ;Pokémon;Water;121;Masakazu Fukuda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1478417.jpg;ex10
