rank;number;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;Common;;Grainipiot;Seedot;タネボー;Pokémon;Grass;273;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1461418.jpg;ex15
2;2;Common;;Cacnéa;Cacnea;サボネア;Pokémon;Grass;331;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1461419.jpg;ex15
3;3;Rare;;Seviper;Seviper;ハブネーク;Pokémon;Grass;336;Midori Harada;https://res.cloudinary.com/dkhwpritu/image/upload/v1587829447/modifs/Capture_d_e%CC%81cran_2020-04-25_a%CC%80_17.42.55.png;ex15
4;4;Common;;Lilia;Lileep;リリーラ;Pokémon;Grass;345;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1461420.jpg;ex15
5;5;Rare;;Vacilys;Cradily;ユレイドル;Pokémon;Grass;346;Ken Sugimori;https://d3rdng4e2gylew.cloudfront.net/pics/_2/274474/274474_1539334833641.jpg;ex15
6;6;Common;;Salamèche;Charmander;ヒトカゲ;Pokémon;Fire;4;Sachiko Adachi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1461421.jpg;ex15
7;7;Uncommon;;Reptincel;Charmeleon;リザード;Pokémon;Fire;5;Midori Harada;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1461422.jpg;ex15
8;8;Rare;;Dracaufeu;Charizard;リザードン;Pokémon;Fire;6;Ken Sugimori;https://res.cloudinary.com/dkhwpritu/image/upload/v1587828496/modifs/Capture_d_e%CC%81cran_2020-04-25_a%CC%80_17.26.34.png;ex15
9;9;Common;;Goupix;Vulpix;ロコン;Pokémon;Fire;37;Ken Sugimori;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1461423.jpg;ex15
10;10;Rare;;Feunard;Ninetales;キュウコン;Pokémon;Fire;38;Tomoaki Imakuni;https://d3rdng4e2gylew.cloudfront.net/pics/_2/274479/274479_1539334841943.jpg;ex15
