rank;number;rarety_type;ultra_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
1;1;Common;;Kraknoix;Trapinch δ;ナックラー δ;Pokémon;Grass;328;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1470680.jpg;ex12
2;2;Uncommon;;Vibraninf;Vibrava δ;ビブラーバ δ;Pokémon;Grass;329;Masakazu Fukuda;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1470681.jpg;ex12
3;3;Rare Holo;;Libégon;Flygon δ;フライゴン δ;Pokémon;Grass;330;Kagemaru Himeno;https://res.cloudinary.com/dkhwpritu/image/upload/v1557078336/modifs/Capture_d_e%CC%81cran_2019-05-05_a%CC%80_18.44.57.png;ex12
4;4;Common;;Férosinge;Mankey δ;マンキー δ;Pokémon;Fire;56;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1470682.jpg;ex12
5;5;Uncommon;;Colossinge;Primeape δ;オコリザル δ;Pokémon;Fire;57;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1470683.jpg;ex12
6;6;Common;;Hypotrempe;Horsea δ;タッツー δ;Pokémon;Fire;116;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1470684.jpg;ex12
7;7;Uncommon;;Hypocéan;Seadra δ;シードラ δ;Pokémon;Fire;117;Kouki Saitou;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1470685.jpg;ex12
8;8;Ultra;Star;Léviator;Gyarados δ;ギャラドス☆ δ;Pokémon;Fire;130;Masakazu Fukuda;https://res.cloudinary.com/dkhwpritu/image/upload/v1557078072/modifs/Capture_d_e%CC%81cran_2019-05-05_a%CC%80_18.55.07.png;ex12
9;9;Uncommon;;Ptera;Aerodactyl δ;プテラ δ;Pokémon;Fire;142;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1470686.jpg;ex12
10;10;Rare Holo;;Latias;Latias δ;ラティアス δ;Pokémon;Fire;380;Masakazu Fukuda;https://res.cloudinary.com/dkhwpritu/image/upload/v1557078275/modifs/Capture_d_e%CC%81cran_2019-05-05_a%CC%80_18.47.21.png;ex12
